영업상태명,상세영업상태명,지번주소,도로명주소
영업/정상,정상영업,서울특별시 동대문구 장안동 94번지 27호 외1필지 예신프라자,서울특별시 동대문구 한천로46길 42 (장안동)
영업/정상,정상영업,서울특별시 동대문구 용두동 231번지 5호,
영업/정상,정상영업,서울특별시 동대문구 제기동 650호,
영업/정상,정상영업,서울특별시 동대문구 청량리동 738번지,서울특별시 동대문구 홍릉로 13 (청량리동)
영업/정상,정상영업,서울특별시 성북구 길음동 540번지 2   호   ,
영업/정상,정상영업,서울특별시 동대문구 전농동 647번지 1호,서울특별시 동대문구 서울시립대로 36 (전농동)
영업/정상,정상영업,서울특별시 동대문구 전농동 295번지 52호,서울특별시 동대문구 전농로 147 (전농동)
영업/정상,정상영업,서울특별시 동대문구 답십리동 265번지 5호,
영업/정상,정상영업,서울특별시 동대문구 이문동 292번지 10호,서울특별시 동대문구 이문로 136 (이문동)
영업/정상,정상영업,서울특별시 동대문구 신설동 109번지 5호,
영업/정상,정상영업,서울특별시 동대문구 장안동 580번지,서울특별시 동대문구 한천로 42 (장안동)
영업/정상,영업개시전,서울특별시 동대문구 제기동 1019번지 신관 2층,서울특별시 동대문구 고산자로36길 3 2층 (제기동)
영업/정상,정상영업,서울특별시 중랑구 신내1동 786번지 동성타워프라자,서울특별시 중랑구 봉화산로 221 (신내동)
영업/정상,정상영업,서울특별시 중랑구 중화2동 314번지 1호,서울특별시 중랑구 동일로129길 35 (중화동)
영업/정상,정상영업,,서울특별시 중랑구 망우로 353-0 (상봉동 프레미어스 엠코)
영업/정상,정상영업,,서울특별시 중랑구 면목로74길 45 (면목동)
영업/정상,정상영업,서울특별시 중랑구 망우동 506번지 1호,서울특별시 중랑구 상봉로 118 (망우동)
영업/정상,정상영업,서울특별시 중랑구 묵1동 170번지 1호 외 35필지,서울특별시 중랑구 동일로 932 (묵동)
영업/정상,정상영업,서울특별시 중랑구 상봉동 81호,서울특별시 중랑구 망우로 336 (상봉동)
영업/정상,정상영업,서울특별시 성북구 돈암동 609번지 1호 스카이프라자상가,서울특별시 성북구 성북로4길 52 (돈암동 한신한진아파트)
영업/정상,정상영업,서울특별시 성북구 길음동 535-8535-26540-2540-7,
영업/정상,정상영업,서울특별시 성북구 길음동 535번지8호 535번지26호 540번지2호,
영업/정상,정상영업,서울특별시 성북구 길음1동 1285번지 7호,서울특별시 성북구 오패산로4길 17 (하월곡동)
영업/정상,정상영업,서울특별시 성북구 장위동 316번지 3호,서울특별시 성북구 월계로40길 7 (장위동)
영업/정상,정상영업,서울특별시 성북구 정릉3동 1034번지,서울특별시 성북구 정릉로 307 (정릉동)
영업/정상,정상영업,,서울특별시 성북구 돌곶이로22가길 27 (석관동)
영업/정상,정상영업,,서울특별시 성북구 인촌로2길 37 (보문동4가)
영업/정상,정상영업,서울특별시 성북구 석관동 279번지 39호,서울특별시 성북구 한천로73길 26 (석관동)
영업/정상,정상영업,서울특별시 성북구 돈암동 609번지 1호,서울특별시 성북구 성북로4길 52 (돈암동)
영업/정상,정상영업,,서울특별시 성북구 장월로12길 41-1 (장위동)
영업/정상,정상영업,서울특별시 성북구 길음동 25번지 2호,서울특별시 성북구 도봉로 17 (길음동)
영업/정상,정상영업,서울특별시 성북구 동선동1가 1번지 2호,서울특별시 성북구 동소문로 106 (동선동1가)
영업/정상,정상영업,서울특별시 중랑구 상봉1동 500번지,서울특별시 망우로 353-0 (상봉동 프레미어스 엠코)
영업/정상,정상영업,서울특별시 성북구 하월곡동 230번지 동일하이빌뉴시티아파트,서울특별시 성북구 종암로 167 (하월곡동 동일하이빌뉴시티아파트)
영업/정상,정상영업,,서울특별시 성북구 보문사길 111 (보문동6가 보문파크뷰자이)
영업/정상,정상영업,서울특별시 성북구 보문동4가 1번지 1   호   ,
영업/정상,정상영업,서울특별시 성북구 하월곡동 88번지 345호   ,
영업/정상,정상영업,서울특별시 성북구 석관동 270호   ,
영업/정상,정상영업,서울특별시 성북구 석관동 338번지 18호   ,
영업/정상,정상영업,서울특별시 성북구 장위동 301호   ,
영업/정상,정상영업,서울특별시 성북구 길음동 20번지 1호,서울특별시 성북구 동소문로 315 (길음동 현대백화점미아점)
영업/정상,정상영업,서울특별시 성북구 길음동 535번지 8호,서울특별시 성북구 동소문로 227 (길음동)
